N cont;N mid;L;Species;status
80_E_1;1;37;MT;dead
80_E_1;2;24;MT;dead
80_E_1;3;25;MT;dead
80_E_1;4;25;MT;dead
80_E_1;5;25;MT;dead
80_E_1;6;25;MT;dead
80_E_1;7;20;MT;dead
80_E_1;8;22;MT;dead
80_E_1;9;NA;MT;dead
80_E_1;10;NA;MT;dead
80_E_1;11;34;ME;alive
80_E_1;12;22;MT;alive
80_E_1;13;21;ME;alive
80_E_1;14;36;MT;alive
80_E_1;15;33;MT;alive
80_E_1;16;22;MT;alive
80_E_1;17;22;MT;alive
80_E_1;18;29;MT;alive
80_E_1;19;20;MT;alive
80_E_1;20;31;MT;alive
80_E_1;21;24;ME;alive
80_E_1;22;33;MT;alive
80_E_1;23;23;MT;alive
80_E_1;24;35;MT;alive
80_E_1;25;28;MT;alive
80_E_1;26;29;ME;alive
80_E_1;27;23;MT;alive
80_E_1;28;31;MT;alive
80_E_1;29;22;MT;alive
80_E_1;30;31;MT;alive
80_E_1;31;30;MT;alive
80_E_1;32;29;ME;alive
80_E_1;33;34;MT;alive
80_E_1;34;30;MT;alive
80_E_1;35;24;ME;alive
80_E_1;36;27;MT;alive
80_E_1;37;22;MT;alive
80_E_1;38;23;MT;alive
80_E_1;39;27;MT;alive
80_E_1;40;24;MT;alive
80_E_1;41;34;ME;alive
80_E_1;42;32;MT;alive
80_E_1;43;37;ME;alive
80_E_1;44;25;ME;alive
80_E_1;45;21;MT;alive
80_E_1;46;22;MT;alive
80_E_1;47;27;MT;alive
80_E_1;48;34;MT;alive
80_E_1;49;27;MT;alive
80_E_1;50;22;MT;alive
80_E_1;51;24;MT;alive
80_E_1;52;28;ME;alive
80_E_1;53;26;MT;alive
80_E_1;54;24;MT;alive
80_E_1;55;29;ME;alive
80_E_1;56;25;MT;alive
80_E_1;57;26;MT;alive
F_E_1;58;23;MT;dead
F_E_1;59;20;MT;dead
F_E_1;60;21;MT;dead
F_E_1;61;NA;MT;dead
F_E_1;62;28;MT;alive
F_E_1;63;21;MT;alive
F_E_1;64;24;MT;alive
F_E_1;65;27;ME;alive
F_E_1;66;23;MT;alive
F_E_1;67;26;MT;alive
F_E_1;68;21;MT;alive
F_E_1;69;32;MT;alive
F_E_1;70;28;MT;alive
F_E_1;71;20;MT;alive
F_E_1;72;25;MT;alive
F_E_1;73;33;ME;alive
F_E_1;74;27;MT;alive
F_E_1;75;32;MT;alive
F_E_1;76;25;MT;alive
F_E_1;77;21;MT;alive
F_E_1;78;27;ME;alive
F_E_1;79;28;ME;alive
F_E_1;80;28;ME;alive
F_E_1;81;22;MT;alive
F_E_1;82;26;MT;alive
F_E_1;83;27;MT;alive
F_E_1;84;24;MT;alive
F_E_1;85;28;ME;alive
F_E_1;86;23;MT;alive
F_E_1;87;28;ME;alive
F_E_1;88;44;MT;alive
F_E_1;89;27;ME;alive
F_E_1;90;24;ME;alive
F_E_1;91;25;MT;alive
F_E_1;92;22;ME;alive
F_E_1;93;23;MT;alive
F_E_1;94;23;MT;alive
F_E_1;95;25;MT;alive
F_E_1;96;24;MT;alive
F_E_1;97;22;MT;alive
F_E_1;98;28;MT;alive
F_E_1;99;25;MT;alive
F_E_1;100;31;ME;alive
F_E_1;101;21;MT;alive
F_E_1;102;37;MT;alive
F_E_1;103;20;MT;alive
F_E_1;104;31;MT;alive
F_E_1;105;31;ME;alive
F_E_1;106;20;MT;alive
F_E_1;107;31;MT;alive
F_E_1;108;23;MT;alive
F_E_1;109;21;MT;alive
F_E_1;110;21;MT;alive
F_E_1;111;21;MT;alive
F_E_1;112;26;MT;alive
F_E_1;113;27;MT;alive
F_E_1;114;56;MT;alive
F_E_1;115;22;MT;alive
F_E_1;116;22;MT;alive
F_E_1;117;22;MT;alive
FH2;204;29;ME;dead
FH2;205;34;ME;dead
FH2;206;40;ME;dead
FH2;207;27;ME;dead
FH2;208;23;ME;dead
FH2;209;22;ME;dead
FH2;210;29;ME;dead
FH2;211;NA;ME;dead
FH2;212;33;MT;dead
FH2;213;22;MT;dead
FH2;214;24;MT;dead
FH2;215;26;MT;dead
FH2;216;30;MT;dead
FH2;217;21;MT;dead
FH2;218;24;MT;dead
FH2;219;37;MT;dead
FH2;220;30;MT;dead
