year;sample;Season;bank;T;E;;nitchatka;;;
2010;Korg 1  ;august;korg;26;56;;"0,686";;;
2010;Korg 2;august;korg;7;42;;"0,041";;;
2010;Korg 3;august;korg;21;35;;"0,092";;;
2010;Korg 4;august;korg;27;67;;"2,628";;;
2010;Korg 5;august;korg;12;17;;"0,099";;;
2010;Korg 6;august;korg;43;110;;"0,009";;;
2010;MAT 1   ;august;mat;36;70;;"0,003";;;
2010;MAT 2;august;mat;41;40;;"0,283";;;
2010;MAT 3;august;mat;86;142;;0;;;
2010;MAT 5;august;mat;27;42;;"0,034";;;
2010;MAT 6;august;mat;77;109;;0;;;
2010;Vor 2-1;august;vor2;24;61;;"0,339";;;
2010;Vor 2-5;august;vor2;14;77;;"2,052";;;
2010;Vor 2-6;august;vor2;48;157;;"18,422";;;
2010;Vor 4-1;august;vor4;93;12;;"0,972";;;
2010;Vor 4-2;august;vor4;62;21;;"0,186";;;
2010;Vor 4-3;august;vor4;85;8;;"0,487";;;
2010;Vor 4-4;august;vor4;118;30;;"0,028";;;
2010;Vor 4-5;august;vor4;90;20;;"0,522";;;
2010;Vor 4-6;august;vor4;69;24;;0;;;
2010;Vor 5-1;august;vor5;12;60;;"0,027";;;
2010;Vor 5-2;august;vor5;10;52;;"0,143";;;
2010;Vor 5-3;august;vor5;4;33;;"4,748";;;
2010;Vor 5-4;august;vor5;17;46;;"0,01";;;
2010;Vor 5-5;august;vor5;7;33;;"0,077";;;
2010;Vor 5-6;august;vor5;7;49;;"0,23";;;
2012;Korg 1   ;august;korg;24;55;;"0,956";;;
2012;Korg 2;august;korg;40;41;;0;;;
2012;Korg 3;august;korg;20;69;;"0,002";;;
2012;Korg 4;august;korg;31;45;;"3,846";;;
2012;Korg 5;august;korg;7;41;;"2,481";;;
2012;Korg 6;august;korg;29;65;;"0,015";;;
2012;MAT 1    ;august;mat;59;55;;"0,023";;;
2012;MAT 2    ;august;mat;45;36;;"0,047";;;
2012;MAT 3;august;mat;45;56;;"0,013";;;
2012;MAT 4;august;mat;60;42;;"1,056";;;
2012;MAT 5;august;mat;65;50;;"0,147";;;
2012;MAT 6;august;mat;38;32;;"0,65";;;
2012;MAT 7;august;mat;75;32;;"0,262";;;
2012;MAT 8;august;mat;71;45;;"0,047";;;
2012;MAT 9;august;mat;109;51;;"0,118";;;
2012;MAT 10   ;august;mat;79;46;;"0,183";;;
2012;MAT 11   ;august;mat;84;75;;"0,005";;;
2012;MAT 12   ;august;mat;81;89;;"0,018";;;
2012;Vor 2-1;august;vor2;13;28;;"0,1";;;
2012;Vor 2-2;august;vor2;9;41;;"1,843";;;
2012;Vor 2-3;august;vor2;8;61;;"0,023";;;
2012;Vor 2-4;august;vor2;17;41;;"6,69";;;
2012;Vor 2-5;august;vor2;11;61;;"0,001";;;
2012;Vor 2-6;august;vor2;21;60;;"1,375";;;
2012;Vor 4-1;august;vor4;54;44;;"0,136";;;
2012;Vor 4-2;august;vor4;53;44;;"0,247";;;
2012;Vor 4-3;august;vor4;66;45;;"1,089";;;
