 ;Area;Mean;Min;Max;X;Y
Ji_7_m;0;173;173;173;1863.000;545.000
Ji_7_m;0;170;170;170;1856.333;667.000
Ji_7_m;0;173;173;173;1853.000;767.000
Ji_7_m;0;173;173;173;1850.333;832.000
Ji_7_m;0;173;173;173;1851.667;887.333
Ji_7_m;0;173;173;173;1850.333;955.667
Ji_7_m;0;173;173;173;1845.000;1018.667
Ji_7_m;0;173;173;173;1844.333;1071.000
Ji_7_m;0;173;173;173;1841.000;1131.000
Ji_7_m;0;173;173;173;1797.667;1410.667
Ji_7_m;0;173;173;173;1587.667;1243.000
Ji_7_m;0;173;173;173;1581.000;1153.333
Ji_7_m;0;173;173;173;1608.333;1042.667
Ji_7_m;0;173;173;173;1604.333;981.333
Ji_7_m;0;173;173;173;1598.333;921.000
Ji_7_m;0;173;173;173;1605.667;855.667
Ji_7_m;0;173;173;173;1625.667;776.333
Ji_7_m;0;173;173;173;1641.000;687.667
Ji_7_m;0;173;173;173;1729.667;618.333
Ji_7_m;0;173;173;173;1963.000;619.667
Ji_7_m;0;173;173;173;2005.333;734.333
Ji_7_m;0;173;173;173;2020.667;819.667
Ji_7_m;0;173;173;173;2024.000;867.667
Ji_7_m;0;173;173;173;2026.000;925.333
Ji_7_m;0;173;173;173;2033.333;985.333
Ji_7_m;0;173;173;173;2041.333;1064.000
Ji_7_m;0;173;173;173;2042.667;1156.333
Ji_7_m;0;173;173;173;2005.333;1261.000
