 ;Area;Mean;Min;Max;X;Y
Ji_8_f;0;173;173;173;884.333;1562.333
Ji_8_f;0;173;173;173;887.000;1424.000
Ji_8_f;0;173;173;173;892.333;1294.667
Ji_8_f;0;173;173;173;903.000;1167.667
Ji_8_f;0;173;173;173;919.000;1024.667
Ji_8_f;0;173;173;173;931.000;894.333
Ji_8_f;0;173;173;173;932.333;824.000
Ji_8_f;0;173;173;173;935.000;740.667
Ji_8_f;0;173;173;173;952.333;635.667
Ji_8_f;0;173;173;173;947.000;230.667
Ji_8_f;0;173;173;173;681.667;430.000
Ji_8_f;0;173;173;173;620.333;535.667
Ji_8_f;0;173;173;173;601.667;699.667
Ji_8_f;0;173;173;173;592.333;804.667
Ji_8_f;0;173;173;173;560.333;911.333
Ji_8_f;0;173;173;173;508.333;1067.667
Ji_8_f;0;173;173;173;533.667;1243.000
Ji_8_f;0;173;173;173;612.333;1381.667
Ji_8_f;0;173;173;173;753.667;1484.333
Ji_8_f;0;173;173;173;1027.000;1487.000
Ji_8_f;0;173;173;173;1153.667;1391.000
Ji_8_f;0;173;173;173;1199.000;1245.667
Ji_8_f;0;173;173;173;1229.667;1075.333
Ji_8_f;0;173;173;173;1235.000;942.333
Ji_8_f;0;173;173;173;1223.000;847.667
Ji_8_f;0;173;173;173;1228.333;747.000
Ji_8_f;0;173;173;173;1229.667;590.333
Ji_8_f;0;173;173;173;1191.000;486.000
