 ,Area,Mean,Min,Max,X,Y
1,0,173,173,173,1617.000,414.000
2,0,170,170,170,1631.500,569.500
3,0,173,173,173,1625.500,686.500
4,0,173,173,173,1631.500,755.500
5,0,173,173,173,1622.500,830.500
6,0,173,173,173,1619.500,896.500
7,0,173,173,173,1616.500,953.500
8,0,173,173,173,1613.500,1013.500
9,0,173,173,173,1613.500,1082.500
10,0,173,173,173,1595.500,1418.500
11,0,173,173,173,1343.500,1214.500
12,0,173,173,173,1319.500,1127.500
13,0,173,173,173,1352.500,968.500
14,0,173,173,173,1346.500,905.500
15,0,173,173,173,1373.500,854.500
16,0,173,173,173,1367.500,794.500
17,0,173,173,173,1379.500,713.500
18,0,173,173,173,1391.500,608.500
19,0,173,173,173,1466.500,512.500
20,0,173,173,173,1760.500,506.500
21,0,173,173,173,1838.500,596.500
22,0,173,173,173,1841.500,707.500
23,0,173,173,173,1865.500,770.500
24,0,173,173,173,1859.500,875.500
25,0,173,173,173,1853.500,935.500
26,0,173,173,173,1820.500,1013.500
27,0,173,173,173,1862.500,1157.500
28,0,173,173,173,1811.500,1247.500
