" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;1617;411"
"2;0;170;170;170;1632;576"
"3;0;173;173;173;1629;693"
"4;0;173;173;173;1629;756"
"5;0;173;173;173;1626;834"
"6;0;173;173;173;1620;897"
"7;0;173;173;173;1617;960"
"8;0;173;173;173;1617;1017"
"9;0;173;173;173;1614;1083"
"10;0;173;173;173;1593;1422"
"11;0;173;173;173;1353;1218"
"12;0;173;173;173;1326;1125"
"13;0;173;173;173;1353;969"
"14;0;173;173;173;1353;903"
"15;0;173;173;173;1371;852"
"16;0;173;173;173;1368;792"
"17;0;173;173;173;1383;717"
"18;0;173;173;173;1389;606"
"19;0;173;173;173;1470;513"
"20;0;173;173;173;1761;507"
"21;0;173;173;173;1839;597"
"22;0;173;173;173;1842;708"
"23;0;173;173;173;1863;771"
"24;0;173;173;173;1857;882"
"25;0;173;173;173;1851;939"
"26;0;173;173;173;1821;1011"
"27;0;173;173;173;1863;1152"
"28;0;173;173;173;1812;1248"
