" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;870;1632"
"2;0;173;173;173;876;1494"
"3;0;173;173;173;915;1302"
"4;0;173;173;173;927;1155"
"5;0;173;173;173;939;993"
"6;0;173;173;173;945;855"
"7;0;173;173;173;945;765"
"8;0;173;173;173;945;660"
"9;0;173;173;173;939;576"
"10;0;173;173;173;993;156"
"11;0;173;173;173;693;390"
"12;0;173;173;173;621;486"
"13;0;173;173;173;576;657"
"14;0;173;173;173;573;789"
"15;0;173;173;173;543;897"
"16;0;173;173;173;513;1035"
"17;0;173;173;173;534;1218"
"18;0;173;173;173;603;1383"
"19;0;173;173;173;705;1500"
"20;0;173;173;173;1038;1518"
"21;0;173;173;173;1146;1416"
"22;0;173;173;173;1221;1254"
"23;0;173;173;173;1263;1056"
"24;0;173;173;173;1266;906"
"25;0;173;173;173;1266;813"
"26;0;173;173;173;1284;696"
"27;0;173;173;173;1269;534"
"28;0;173;173;173;1230;441"
