" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;1965;532"
"2;0;170;170;170;1980;709"
"3;0;173;173;173;1972;790"
"4;0;173;173;173;1966;861"
"5;0;173;173;173;1961;939"
"6;0;173;173;173;1954;1011"
"7;0;173;173;173;1952;1074"
"8;0;173;173;173;1950;1138"
"9;0;173;173;173;1943;1206"
"10;0;173;173;173;1914;1522"
"11;0;173;173;173;1695;1332"
"12;0;173;173;173;1665;1214"
"13;0;173;173;173;1672;1078"
"14;0;173;173;173;1677;1005"
"15;0;173;173;173;1699;946"
"16;0;173;173;173;1708;878"
"17;0;173;173;173;1712;800"
"18;0;173;173;173;1737;690"
"19;0;173;173;173;1826;620"
"20;0;173;173;173;2095;611"
"21;0;173;173;173;2162;723"
"22;0;173;173;173;2186;814"
"23;0;173;173;173;2195;903"
"24;0;173;173;173;2187;987"
"25;0;173;173;173;2209;1045"
"26;0;173;173;173;2209;1114"
"27;0;173;173;173;2187;1264"
"28;0;173;173;173;2147;1338"
