 ,Area,Mean,Min,Max,X,Y
1,0,173,173,173,960,1564
2,0,173,173,173,950,1352
3,0,173,173,173,962,1215
4,0,173,173,173,970,1077
5,0,173,173,173,992,928
6,0,173,173,173,994,808
7,0,173,173,173,1002,728
8,0,173,173,173,1002,644
9,0,173,173,173,1006,506
10,0,173,173,173,992,106
11,0,173,173,173,738,388
12,0,173,173,173,688,474
13,0,173,173,173,686,606
14,0,173,173,173,688,734
15,0,173,173,173,632,837
16,0,173,173,173,622,997
17,0,173,173,173,638,1167
18,0,173,173,173,696,1329
19,0,173,173,173,820,1427
20,0,173,173,173,1108,1433
21,0,173,173,173,1212,1345
22,0,173,173,173,1276,1186
23,0,173,173,173,1295,997
24,0,173,173,173,1287,831
25,0,173,173,173,1253,728
26,0,173,173,173,1258,648
27,0,173,173,173,1253,485
28,0,173,173,173,1230,385
