 ;Area;Mean;Min;Max;X;Y
Ja_4_f;0;173;173;173;855.000;1539.000
Ja_4_f;0;173;173;173;860.500;1361.500
Ja_4_f;0;173;173;173;854.500;1220.500
Ja_4_f;0;173;173;173;863.500;1076.500
Ja_4_f;0;173;173;173;866.500;938.500
Ja_4_f;0;173;173;173;869.500;803.500
Ja_4_f;0;173;173;173;878.500;740.500
Ja_4_f;0;173;173;173;881.500;632.500
Ja_4_f;0;173;173;173;878.500;530.500
Ja_4_f;0;173;173;173;905.500;107.500
Ja_4_f;0;173;173;173;596.500;383.500
Ja_4_f;0;173;173;173;557.500;479.500
Ja_4_f;0;173;173;173;608.500;668.500
Ja_4_f;0;173;173;173;575.500;746.500
Ja_4_f;0;173;173;173;524.500;872.500
Ja_4_f;0;173;173;173;518.500;1052.500
Ja_4_f;0;173;173;173;542.500;1226.500
Ja_4_f;0;173;173;173;599.500;1412.500
Ja_4_f;0;173;173;173;683.500;1472.500
Ja_4_f;0;173;173;173;1013.500;1478.500
Ja_4_f;0;173;173;173;1136.500;1385.500
Ja_4_f;0;173;173;173;1226.500;1217.500
Ja_4_f;0;173;173;173;1244.500;1067.500
Ja_4_f;0;173;173;173;1256.500;875.500
Ja_4_f;0;173;173;173;1223.500;746.500
Ja_4_f;0;173;173;173;1220.500;617.500
Ja_4_f;0;173;173;173;1202.500;488.500
Ja_4_f;0;173;173;173;1169.500;377.500
