 ;Area;Mean;Min;Max;X;Y
Ja_1_m;Ja_1_m;Ja_1_m;Ja_1_m;Ja_1_m;Ja_1_m;402
Ja_1_m;0;173;173;173;1856.5;521.5
Ja_1_m;0;173;173;173;1862.5;596.5
Ja_1_m;0;173;173;173;1859.5;653.5
Ja_1_m;0;173;173;173;1862.5;719.5
Ja_1_m;0;173;173;173;1871.5;791.5
Ja_1_m;0;173;173;173;1877.5;866.5
Ja_1_m;0;173;173;173;1880.5;935.5
Ja_1_m;0;173;173;173;1883.5;1022.5
Ja_1_m;0;173;173;173;1904.5;1316.5
Ja_1_m;0;173;173;173;1688.5;1184.5
Ja_1_m;0;173;173;173;1664.5;1064.5
Ja_1_m;0;173;173;173;1664.5;962.5
Ja_1_m;0;173;173;173;1673.5;890.5
Ja_1_m;0;173;173;173;1670.5;824.5
Ja_1_m;0;173;173;173;1676.5;767.5
Ja_1_m;0;173;173;173;1676.5;701.5
Ja_1_m;0;173;173;173;1673.5;614.5
Ja_1_m;0;173;173;173;1721.5;500.5
Ja_1_m;0;173;173;173;1991.5;482.5
Ja_1_m;0;173;173;173;2063.5;569.5
Ja_1_m;0;173;173;173;2090.5;656.5
Ja_1_m;0;173;173;173;2102.5;728.5
Ja_1_m;0;173;173;173;2108.5;788.5
Ja_1_m;0;173;173;173;2135.5;857.5
Ja_1_m;0;173;173;173;2132.5;944.5
Ja_1_m;0;173;173;173;2144.5;1034.5
Ja_1_m;0;173;173;173;2120.5;1136.5
