;Area;Mean;Min;Max;X;Y
Ja_2_m;0;173;173;173;1620;609
Ja_2_m;0;170;170;170;1640.5;761.5
Ja_2_m;0;173;173;173;1646.5;875.5
Ja_2_m;0;173;173;173;1634.5;935.5
Ja_2_m;0;173;173;173;1649.5;1010.5
Ja_2_m;0;173;173;173;1649.5;1073.5
Ja_2_m;0;173;173;173;1649.5;1118.5
Ja_2_m;0;173;173;173;1646.5;1160.5
Ja_2_m;0;173;173;173;1652.5;1202.5
Ja_2_m;0;173;173;173;1655.5;1445.5
Ja_2_m;0;173;173;173;1436.5;1271.5
Ja_2_m;0;173;173;173;1433.5;1202.5
Ja_2_m;0;173;173;173;1433.5;1145.5
Ja_2_m;0;173;173;173;1427.5;1106.5
Ja_2_m;0;173;173;173;1412.5;1052.5
Ja_2_m;0;173;173;173;1415.5;983.5
Ja_2_m;0;173;173;173;1421.5;911.5
Ja_2_m;0;173;173;173;1412.5;815.5
Ja_2_m;0;173;173;173;1508.5;737.5
Ja_2_m;0;173;173;173;1754.5;737.5
Ja_2_m;0;173;173;173;1832.5;803.5
Ja_2_m;0;173;173;173;1847.5;890.5
Ja_2_m;0;173;173;173;1856.5;968.5
Ja_2_m;0;173;173;173;1862.5;1043.5
Ja_2_m;0;173;173;173;1850.5;1088.5
Ja_2_m;0;173;173;173;1832.5;1124.5
Ja_2_m;0;173;173;173;1841.5;1169.5
Ja_2_m;0;173;173;173;1862.5;1256.5
