" ;Area;Mean;Min;Max;X;Y"
"1;0;173;173;173;1793.500;383.500"
"2;0;170;170;170;1784.500;506.500"
"3;0;173;173;173;1778.500;566.500"
"4;0;173;173;173;1778.500;629.500"
"5;0;173;173;173;1772.500;701.500"
"6;0;173;173;173;1766.500;761.500"
"7;0;173;173;173;1763.500;818.500"
"8;0;173;173;173;1757.500;875.500"
"9;0;173;173;173;1751.500;947.500"
"10;0;173;173;173;1670.500;1265.500"
"11;0;173;173;173;1484.500;1040.500"
"12;0;173;173;173;1487.500;986.500"
"13;0;173;173;173;1514.500;890.500"
"14;0;173;173;173;1517.500;800.500"
"15;0;173;173;173;1517.500;740.500"
"16;0;173;173;173;1523.500;689.500"
"17;0;173;173;173;1529.500;605.500"
"18;0;173;173;173;1565.500;530.500"
"19;0;173;173;173;1643.500;458.500"
"20;0;173;173;173;1895.500;485.500"
"21;0;173;173;173;1943.500;566.500"
"22;0;173;173;173;1952.500;647.500"
"23;0;173;173;173;1952.500;719.500"
"24;0;173;173;173;1955.500;788.500"
"25;0;173;173;173;1952.500;857.500"
"26;0;173;173;173;1934.500;956.500"
"27;0;173;173;173;1934.500;1049.500"
"28;0;173;173;173;1898.500;1100.500"
