ID;Area;Mean;Min;Max;X;Y
Jp_8_m;0;173;173;173;1941.000;681.000
Jp_8_m;0;170;170;170;1905.000;841.667
Jp_8_m;0;173;173;173;1891.667;930.667
Jp_8_m;0;173;173;173;1885.000;1002.333
Jp_8_m;0;173;173;173;1869.000;1071.000
Jp_8_m;0;173;173;173;1862.333;1115.000
Jp_8_m;0;173;173;173;1859.667;1162.333
Jp_8_m;0;173;173;173;1850.333;1223.667
Jp_8_m;0;173;173;173;1842.333;1289.000
Jp_8_m;0;173;173;173;1787.667;1575.667
Jp_8_m;0;173;173;173;1626.333;1389.000
Jp_8_m;0;173;173;173;1617.000;1315.667
Jp_8_m;0;173;173;173;1626.333;1202.333
Jp_8_m;0;173;173;173;1642.333;1120.000
Jp_8_m;0;173;173;173;1649.000;1061.667
Jp_8_m;0;173;173;173;1662.333;1002.333
Jp_8_m;0;173;173;173;1685.000;927.000
Jp_8_m;0;173;173;173;1713.000;839.333
Jp_8_m;0;173;173;173;1799.667;759.333
Jp_8_m;0;173;173;173;2053.000;815.333
Jp_8_m;0;173;173;173;2077.000;914.000
Jp_8_m;0;173;173;173;2098.333;995.333
Jp_8_m;0;173;173;173;2083.667;1075.333
Jp_8_m;0;173;173;173;2071.667;1131.667
Jp_8_m;0;173;173;173;2071.667;1186.333
Jp_8_m;0;173;173;173;2054.333;1259.667
Jp_8_m;0;173;173;173;2049.000;1351.667
Jp_8_m;0;173;173;173;2034.333;1425.000
