ID;Area;Mean;Min;Max;X;Y
Ji_4_f;0;173;173;173;846.333;1773.667
Ji_4_f;0;173;173;173;855.667;1643.000
Ji_4_f;0;173;173;173;887.667;1433.667
Ji_4_f;0;173;173;173;897.000;1289.667
Ji_4_f;0;173;173;173;906.333;1129.667
Ji_4_f;0;173;173;173;913.000;965.000
Ji_4_f;0;173;173;173;921.000;879.667
Ji_4_f;0;173;173;173;929.000;774.333
Ji_4_f;0;173;173;173;937.000;674.333
Ji_4_f;0;173;173;173;967.667;242.333
Ji_4_f;0;173;173;173;613.000;527.333
Ji_4_f;0;173;173;173;605.000;594.000
Ji_4_f;0;173;173;173;567.667;734.000
Ji_4_f;0;173;173;173;550.333;865.333
Ji_4_f;0;173;173;173;518.333;981.333
Ji_4_f;0;173;173;173;503.667;1140.667
Ji_4_f;0;173;173;173;523.667;1333.333
Ji_4_f;0;173;173;173;571.667;1498.667
Ji_4_f;0;173;173;173;682.333;1638.000
Ji_4_f;0;173;173;173;1023.667;1671.333
Ji_4_f;0;173;173;173;1155.667;1559.333
Ji_4_f;0;173;173;173;1235.667;1394.000
Ji_4_f;0;173;173;173;1262.333;1217.333
Ji_4_f;0;173;173;173;1298.333;1070.000
Ji_4_f;0;173;173;173;1273.000;950.000
Ji_4_f;0;173;173;173;1289.000;828.667
Ji_4_f;0;173;173;173;1286.333;674.000
Ji_4_f;0;173;173;173;1245.000;538.000
